214,134
207,142
216,131
245,136
178,141
209,136
186,141
228,143
223,124
210,129
200,141
225,130
206,138
245,123
215,128
239,131
209,143
191,121
236,129
192,133
179,141
215,129
200,131
251,142
206,123
212,129
197,121
228,137
230,132
190,133
216,136
233,130
198,131
204,136
236,134
247,145
224,131
186,148
231,127
217,123
192,131
240,133
216,129
214,145
180,136
227,142
216,142
194,142
202,126
236,133
182,138
180,135
216,135
205,139
212,143
191,131
226,129
202,129
226,130
184,126
198,137
208,134
202,135
208,148
232,132
230,131
203,127
240,128
216,125
188,138
194,128
186,141
248,135
204,145
181,124
249,144
215,147
232,132
188,141
225,130
237,138
190,129
230,141
200,125
230,135
189,134
220,139
217,145
189,135
179,149
230,137
184,134
204,121
220,142
230,149
238,125
187,141
195,134
184,126
228,131
234,135
222,146
196,143
237,134
208,137
192,127
234,143
206,148
248,129
214,140
191,148
232,131
220,145
186,137
220,150
178,133
207,148
238,138
205,143
179,122
229,146
191,125
228,130
225,144
186,143
205,141
240,127
224,125
178,133
224,135
228,144
244,142
229,146
232,134
229,134
200,139
241,144
232,137
192,135
205,132
190,132
225,143
210,121
210,123
222,138
172,127
220,133
196,140
224,139
187,141
198,136
236,133
244,130
192,127
198,125
210,137
200,143
201,127
185,138
198,129
224,136
209,137
198,134
235,137
240,150
208,143
183,129
246,124
223,136
202,125
202,142
228,142
222,129
212,133
218,145
187,132
229,144
194,135
201,142
221,127
230,133
212,127
232,147
186,128
203,136
191,139
235,138
238,144
238,137
220,148
225,137
210,137
192,129
210,124
215,131
233,129
208,128
194,148
204,128
200,145
216,127
218,142
172,133
233,127
178,142
194,133
200,131
180,125
224,133
219,131
195,125
195,144
234,132
245,144
217,131
218,141
225,129
214,147
237,150
227,129
197,143
215,129
197,126
213,139
224,128
205,127
197,130
228,125
212,140
236,122
211,129
234,142
201,128
228,131
203,140
217,131
204,139
212,130
233,146
188,139
205,121
187,137
202,141
218,133
200,125
204,121
222,141
203,140
219,129
201,129
212,139
201,130
214,141
194,138
212,121
195,127
205,127
208,136
188,144
197,138
234,145
249,138
248,126
196,123
216,135
176,135
241,139
215,133
211,129
217,134
199,127
182,124
200,131
212,129
202,130
195,126
188,138
225,131
214,142
197,143
237,126
183,143
214,130
221,127
218,127
206,137
211,129
217,137
212,131
182,136
195,139
197,132
208,135
211,135
192,145
221,137
179,132
243,141
224,128
176,122
193,127
244,146
195,131
216,130
196,123
245,129
179,133
239,140
203,128
215,142
211,139
220,134
212,141
222,129
216,144
200,131
223,142
217,127
201,141
200,133
232,141
217,142
194,125
220,150
222,133
229,129
225,121
232,142
189,133
229,131
200,142
246,132
214,139
237,136
232,139
237,125
201,129
196,140
224,131
248,140
200,134
246,127
190,136
229,134
185,128
179,133
212,127
223,126
223,129
220,133
226,127
227,145
216,131
240,147
190,143
215,144
243,144
188,138
179,138
220,127
223,136
210,141
209,146
201,142
216,148
227,140
200,147
211,126
236,128
229,138
226,130
228,128
197,144
200,144
245,133
212,137
203,125
212,138
190,131
223,133
196,127
226,131
185,121
233,132
182,144
229,125
185,139
201,139
209,135
189,135
180,144
221,125
206,139
236,140
186,139
